// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 4 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:21 (21.29 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:10 (10.41 sec)   *****
// Found 4 benchmarks:
//   SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET Framework 4.8.1(Runtime=.NET Framework 4.8.1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f0e28920-4120-43f3-ad25-74bf5840ab51.dll --anonymousPipes 1692 1680 --benchmarkName SparksAndFrameworksBenchmark.Interpolation --job ".NET 6.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net8.0\f0e28920-4120-43f3-ad25-74bf5840ab51\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 6.0.25 (6.0.2523.51912), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni VectorSize=256
// Job: .NET 6.0

WorkloadActual   2: 8388608 op, 430334900.00 ns, 51.2999 ns/op
WorkloadActual   3: 8388608 op, 408133800.00 ns, 48.6533 ns/op
WorkloadActual   4: 8388608 op, 466893100.00 ns, 55.6580 ns/op
WorkloadActual   5: 8388608 op, 433419100.00 ns, 51.6676 ns/op
WorkloadActual   6: 8388608 op, 443365200.00 ns, 52.8533 ns/op
WorkloadActual   7: 8388608 op, 708716900.00 ns, 84.4856 ns/op
WorkloadActual   8: 8388608 op, 527099600.00 ns, 62.8352 ns/op
WorkloadActual   9: 8388608 op, 425585500.00 ns, 50.7337 ns/op
WorkloadActual  10: 8388608 op, 494616200.00 ns, 58.9628 ns/op
WorkloadActual  11: 8388608 op, 677860200.00 ns, 80.8072 ns/op
WorkloadActual  12: 8388608 op, 595632400.00 ns, 71.0049 ns/op
WorkloadActual  13: 8388608 op, 410899900.00 ns, 48.9831 ns/op
WorkloadActual  14: 8388608 op, 431215500.00 ns, 51.4049 ns/op
WorkloadActual  15: 8388608 op, 428974200.00 ns, 51.1377 ns/op
WorkloadActual  16: 8388608 op, 409548700.00 ns, 48.8220 ns/op
WorkloadActual  17: 8388608 op, 399140700.00 ns, 47.5813 ns/op
WorkloadActual  18: 8388608 op, 450275000.00 ns, 53.6770 ns/op
WorkloadActual  19: 8388608 op, 437685200.00 ns, 52.1761 ns/op
WorkloadActual  20: 8388608 op, 420303300.00 ns, 50.1041 ns/op
WorkloadActual  21: 8388608 op, 432353400.00 ns, 51.5405 ns/op
WorkloadActual  22: 8388608 op, 402092300.00 ns, 47.9331 ns/op
WorkloadActual  23: 8388608 op, 466363500.00 ns, 55.5949 ns/op
WorkloadActual  24: 8388608 op, 433232300.00 ns, 51.6453 ns/op
WorkloadActual  25: 8388608 op, 425228200.00 ns, 50.6912 ns/op
WorkloadActual  26: 8388608 op, 433830400.00 ns, 51.7166 ns/op
WorkloadActual  27: 8388608 op, 415261400.00 ns, 49.5030 ns/op
WorkloadActual  28: 8388608 op, 412330700.00 ns, 49.1536 ns/op
WorkloadActual  29: 8388608 op, 423773200.00 ns, 50.5177 ns/op
WorkloadActual  30: 8388608 op, 432755600.00 ns, 51.5885 ns/op
WorkloadActual  31: 8388608 op, 434314400.00 ns, 51.7743 ns/op
WorkloadActual  32: 8388608 op, 431193500.00 ns, 51.4023 ns/op
WorkloadActual  33: 8388608 op, 416387800.00 ns, 49.6373 ns/op
WorkloadActual  34: 8388608 op, 420596000.00 ns, 50.1390 ns/op
WorkloadActual  35: 8388608 op, 507016400.00 ns, 60.4411 ns/op
WorkloadActual  36: 8388608 op, 484948200.00 ns, 57.8103 ns/op
WorkloadActual  37: 8388608 op, 444013600.00 ns, 52.9305 ns/op
WorkloadActual  38: 8388608 op, 485538600.00 ns, 57.8807 ns/op
WorkloadActual  39: 8388608 op, 453592300.00 ns, 54.0724 ns/op
WorkloadActual  40: 8388608 op, 431935700.00 ns, 51.4907 ns/op
WorkloadActual  41: 8388608 op, 510754300.00 ns, 60.8867 ns/op
WorkloadActual  42: 8388608 op, 509580000.00 ns, 60.7467 ns/op
WorkloadActual  43: 8388608 op, 431567800.00 ns, 51.4469 ns/op
WorkloadActual  44: 8388608 op, 406625100.00 ns, 48.4735 ns/op
WorkloadActual  45: 8388608 op, 640405400.00 ns, 76.3423 ns/op
WorkloadActual  46: 8388608 op, 437431500.00 ns, 52.1459 ns/op
WorkloadActual  47: 8388608 op, 450103300.00 ns, 53.6565 ns/op
WorkloadActual  48: 8388608 op, 448476000.00 ns, 53.4625 ns/op
WorkloadActual  49: 8388608 op, 432498600.00 ns, 51.5579 ns/op
WorkloadActual  50: 8388608 op, 620499100.00 ns, 73.9693 ns/op
WorkloadActual  51: 8388608 op, 479719400.00 ns, 57.1870 ns/op
WorkloadActual  52: 8388608 op, 484287500.00 ns, 57.7316 ns/op
WorkloadActual  53: 8388608 op, 450627300.00 ns, 53.7190 ns/op
WorkloadActual  54: 8388608 op, 563691800.00 ns, 67.1973 ns/op
WorkloadActual  55: 8388608 op, 448439300.00 ns, 53.4581 ns/op
WorkloadActual  56: 8388608 op, 435293600.00 ns, 51.8910 ns/op
WorkloadActual  57: 8388608 op, 465465100.00 ns, 55.4878 ns/op
WorkloadActual  58: 8388608 op, 411919600.00 ns, 49.1046 ns/op
WorkloadActual  59: 8388608 op, 428032200.00 ns, 51.0254 ns/op
WorkloadActual  60: 8388608 op, 472680400.00 ns, 56.3479 ns/op
WorkloadActual  61: 8388608 op, 430409100.00 ns, 51.3088 ns/op
WorkloadActual  62: 8388608 op, 415764100.00 ns, 49.5629 ns/op
WorkloadActual  63: 8388608 op, 481705700.00 ns, 57.4238 ns/op
WorkloadActual  64: 8388608 op, 511263100.00 ns, 60.9473 ns/op
WorkloadActual  65: 8388608 op, 605163600.00 ns, 72.1411 ns/op
WorkloadActual  66: 8388608 op, 423546200.00 ns, 50.4906 ns/op
WorkloadActual  67: 8388608 op, 404882400.00 ns, 48.2657 ns/op
WorkloadActual  68: 8388608 op, 395104800.00 ns, 47.1002 ns/op
WorkloadActual  69: 8388608 op, 422765500.00 ns, 50.3976 ns/op
WorkloadActual  70: 8388608 op, 401404600.00 ns, 47.8512 ns/op
WorkloadActual  71: 8388608 op, 415993600.00 ns, 49.5903 ns/op
WorkloadActual  72: 8388608 op, 411471500.00 ns, 49.0512 ns/op
WorkloadActual  73: 8388608 op, 496134800.00 ns, 59.1439 ns/op
WorkloadActual  74: 8388608 op, 437187400.00 ns, 52.1168 ns/op
WorkloadActual  75: 8388608 op, 438782800.00 ns, 52.3070 ns/op
WorkloadActual  76: 8388608 op, 443599000.00 ns, 52.8811 ns/op
WorkloadActual  77: 8388608 op, 442956200.00 ns, 52.8045 ns/op
WorkloadActual  78: 8388608 op, 427723800.00 ns, 50.9887 ns/op
WorkloadActual  79: 8388608 op, 406332500.00 ns, 48.4386 ns/op
WorkloadActual  80: 8388608 op, 409379800.00 ns, 48.8019 ns/op
WorkloadActual  81: 8388608 op, 399911100.00 ns, 47.6731 ns/op
WorkloadActual  82: 8388608 op, 423394000.00 ns, 50.4725 ns/op
WorkloadActual  83: 8388608 op, 435984300.00 ns, 51.9734 ns/op
WorkloadActual  84: 8388608 op, 424070600.00 ns, 50.5532 ns/op
WorkloadActual  85: 8388608 op, 412885000.00 ns, 49.2197 ns/op
WorkloadActual  86: 8388608 op, 418643600.00 ns, 49.9062 ns/op
WorkloadActual  87: 8388608 op, 427716600.00 ns, 50.9878 ns/op
WorkloadActual  88: 8388608 op, 414677200.00 ns, 49.4334 ns/op
