// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:11 (11.71 sec)   *****
// Found 3 benchmarks:
//   SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 5a2bfbef-d52a-4c69-ab42-903c10c27676.dll --anonymousPipes 2044 1572 --benchmarkName SparksAndFrameworksBenchmark.Interpolation --job ".NET 6.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net6.0\5a2bfbef-d52a-4c69-ab42-903c10c27676\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 6.0.25 (6.0.2523.51912), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni VectorSize=256
// Job: .NET 6.0

OverheadJitting  1: 1 op, 357700.00 ns, 357.7000 us/op
WorkloadJitting  1: 1 op, 430000.00 ns, 430.0000 us/op

OverheadJitting  2: 16 op, 598800.00 ns, 37.4250 us/op
WorkloadJitting  2: 16 op, 579400.00 ns, 36.2125 us/op

WorkloadPilot    1: 16 op, 10100.00 ns, 631.2500 ns/op
WorkloadPilot    2: 32 op, 70500.00 ns, 2.2031 us/op
WorkloadPilot    3: 64 op, 15800.00 ns, 246.8750 ns/op
WorkloadPilot    4: 128 op, 17100.00 ns, 133.5938 ns/op
WorkloadPilot    5: 256 op, 399400.00 ns, 1.5602 us/op
WorkloadPilot    6: 512 op, 58800.00 ns, 114.8438 ns/op
WorkloadPilot    7: 1024 op, 120100.00 ns, 117.2852 ns/op
WorkloadPilot    8: 2048 op, 338200.00 ns, 165.1367 ns/op
WorkloadPilot    9: 4096 op, 2396800.00 ns, 585.1562 ns/op
WorkloadPilot   10: 8192 op, 1294700.00 ns, 158.0444 ns/op
WorkloadPilot   11: 16384 op, 3712600.00 ns, 226.5991 ns/op
WorkloadPilot   12: 32768 op, 4586400.00 ns, 139.9658 ns/op
WorkloadPilot   13: 65536 op, 28341700.00 ns, 432.4600 ns/op
WorkloadPilot   14: 131072 op, 49772300.00 ns, 379.7325 ns/op
WorkloadPilot   15: 262144 op, 100392600.00 ns, 382.9674 ns/op
WorkloadPilot   16: 524288 op, 131112400.00 ns, 250.0771 ns/op
WorkloadPilot   17: 1048576 op, 54085900.00 ns, 51.5803 ns/op
WorkloadPilot   18: 2097152 op, 132128400.00 ns, 63.0037 ns/op
WorkloadPilot   19: 4194304 op, 289133400.00 ns, 68.9348 ns/op
WorkloadPilot   20: 8388608 op, 452705500.00 ns, 53.9667 ns/op
WorkloadPilot   21: 16777216 op, 878551200.00 ns, 52.3657 ns/op

OverheadWarmup   1: 16777216 op, 50821000.00 ns, 3.0292 ns/op
OverheadWarmup   2: 16777216 op, 51333200.00 ns, 3.0597 ns/op
OverheadWarmup   3: 16777216 op, 48151500.00 ns, 2.8701 ns/op
OverheadWarmup   4: 16777216 op, 51909700.00 ns, 3.0941 ns/op
OverheadWarmup   5: 16777216 op, 48195100.00 ns, 2.8727 ns/op

OverheadActual   1: 16777216 op, 49927700.00 ns, 2.9759 ns/op
OverheadActual   2: 16777216 op, 52821100.00 ns, 3.1484 ns/op
OverheadActual   3: 16777216 op, 46402700.00 ns, 2.7658 ns/op
OverheadActual   4: 16777216 op, 49329800.00 ns, 2.9403 ns/op
OverheadActual   5: 16777216 op, 55003700.00 ns, 3.2785 ns/op
OverheadActual   6: 16777216 op, 60286800.00 ns, 3.5934 ns/op
OverheadActual   7: 16777216 op, 54643300.00 ns, 3.2570 ns/op
OverheadActual   8: 16777216 op, 40088400.00 ns, 2.3895 ns/op
OverheadActual   9: 16777216 op, 47677300.00 ns, 2.8418 ns/op
OverheadActual  10: 16777216 op, 44804900.00 ns, 2.6706 ns/op
OverheadActual  11: 16777216 op, 44222400.00 ns, 2.6359 ns/op
OverheadActual  12: 16777216 op, 39929700.00 ns, 2.3800 ns/op
OverheadActual  13: 16777216 op, 44187100.00 ns, 2.6338 ns/op
OverheadActual  14: 16777216 op, 45099500.00 ns, 2.6881 ns/op
OverheadActual  15: 16777216 op, 37739300.00 ns, 2.2494 ns/op
OverheadActual  16: 16777216 op, 40951700.00 ns, 2.4409 ns/op
OverheadActual  17: 16777216 op, 45073300.00 ns, 2.6866 ns/op
OverheadActual  18: 16777216 op, 38590500.00 ns, 2.3002 ns/op
OverheadActual  19: 16777216 op, 40376800.00 ns, 2.4066 ns/op
OverheadActual  20: 16777216 op, 42634900.00 ns, 2.5412 ns/op

WorkloadWarmup   1: 16777216 op, 803369700.00 ns, 47.8846 ns/op
WorkloadWarmup   2: 16777216 op, 907205900.00 ns, 54.0737 ns/op
WorkloadWarmup   3: 16777216 op, 926326900.00 ns, 55.2134 ns/op
WorkloadWarmup   4: 16777216 op, 777985800.00 ns, 46.3716 ns/op
WorkloadWarmup   5: 16777216 op, 750344000.00 ns, 44.7240 ns/op
WorkloadWarmup   6: 16777216 op, 753009200.00 ns, 44.8828 ns/op
WorkloadWarmup   7: 16777216 op, 775177700.00 ns, 46.2042 ns/op
WorkloadWarmup   8: 16777216 op, 749597900.00 ns, 44.6795 ns/op

// BeforeActualRun
