// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 6 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:24 (24.1 sec)   *****
// Found 6 benchmarks:
//   InterpolationBenchmark.Interpolation: .NET 5.0(Runtime=.NET 5.0)
//   InterpolationBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   InterpolationBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   InterpolationBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)
//   InterpolationBenchmark.Interpolation: .NET Core 3.1(Runtime=.NET Core 3.1)
//   InterpolationBenchmark.Interpolation: .NET Framework 4.8.1(Runtime=.NET Framework 4.8.1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: InterpolationBenchmark.Interpolation: .NET 5.0(Runtime=.NET 5.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet de034b6a-56fc-47bd-bf51-d53f1f32db3c.dll --anonymousPipes 7964 4132 --benchmarkName Penguin.InterpolationBenchmark.Interpolation --job ".NET 5.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net8.0\de034b6a-56fc-47bd-bf51-d53f1f32db3c\bin\Release\net5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 5.0.17 (5.0.1722.21314), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: .NET 5.0

OverheadJitting  1: 1 op, 253900.00 ns, 253.9000 us/op
WorkloadJitting  1: 1 op, 199500.00 ns, 199.5000 us/op

OverheadJitting  2: 16 op, 373900.00 ns, 23.3687 us/op
WorkloadJitting  2: 16 op, 369500.00 ns, 23.0938 us/op

WorkloadPilot    1: 16 op, 3000.00 ns, 187.5000 ns/op
WorkloadPilot    2: 32 op, 5400.00 ns, 168.7500 ns/op
WorkloadPilot    3: 64 op, 5700.00 ns, 89.0625 ns/op
WorkloadPilot    4: 128 op, 9100.00 ns, 71.0938 ns/op
WorkloadPilot    5: 256 op, 17500.00 ns, 68.3594 ns/op
WorkloadPilot    6: 512 op, 33300.00 ns, 65.0391 ns/op
WorkloadPilot    7: 1024 op, 60900.00 ns, 59.4727 ns/op
WorkloadPilot    8: 2048 op, 165000.00 ns, 80.5664 ns/op
WorkloadPilot    9: 4096 op, 317200.00 ns, 77.4414 ns/op
WorkloadPilot   10: 8192 op, 624900.00 ns, 76.2817 ns/op
WorkloadPilot   11: 16384 op, 1404700.00 ns, 85.7361 ns/op
WorkloadPilot   12: 32768 op, 3594100.00 ns, 109.6832 ns/op
WorkloadPilot   13: 65536 op, 4951100.00 ns, 75.5478 ns/op
WorkloadPilot   14: 131072 op, 9949800.00 ns, 75.9109 ns/op
WorkloadPilot   15: 262144 op, 20166500.00 ns, 76.9291 ns/op
WorkloadPilot   16: 524288 op, 41015600.00 ns, 78.2310 ns/op
WorkloadPilot   17: 1048576 op, 80756800.00 ns, 77.0157 ns/op
WorkloadPilot   18: 2097152 op, 133806900.00 ns, 63.8041 ns/op
WorkloadPilot   19: 4194304 op, 270420400.00 ns, 64.4732 ns/op
WorkloadPilot   20: 8388608 op, 531699900.00 ns, 63.3836 ns/op

OverheadWarmup   1: 8388608 op, 30069200.00 ns, 3.5845 ns/op
OverheadWarmup   2: 8388608 op, 25176400.00 ns, 3.0013 ns/op
OverheadWarmup   3: 8388608 op, 27547700.00 ns, 3.2839 ns/op
OverheadWarmup   4: 8388608 op, 29360200.00 ns, 3.5000 ns/op
