// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 4 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:09 (9.13 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:01 (1.56 sec)   *****
// Found 4 benchmarks:
//   SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET Framework 4.8.1(Runtime=.NET Framework 4.8.1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0da5aeb1-a707-4bae-bc61-ce889e127d72.dll --anonymousPipes 1428 2028 --benchmarkName SparksAndFrameworksBenchmark.Interpolation --job ".NET 6.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net8.0\0da5aeb1-a707-4bae-bc61-ce889e127d72\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 6.0.25 (6.0.2523.51912), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni VectorSize=256
// Job: .NET 6.0

OverheadJitting  1: 1 op, 217700.00 ns, 217.7000 us/op
WorkloadJitting  1: 1 op, 203600.00 ns, 203.6000 us/op

OverheadJitting  2: 16 op, 367200.00 ns, 22.9500 us/op
WorkloadJitting  2: 16 op, 362500.00 ns, 22.6562 us/op

WorkloadPilot    1: 16 op, 4000.00 ns, 250.0000 ns/op
WorkloadPilot    2: 32 op, 5100.00 ns, 159.3750 ns/op
WorkloadPilot    3: 64 op, 7600.00 ns, 118.7500 ns/op
WorkloadPilot    4: 128 op, 13100.00 ns, 102.3438 ns/op
WorkloadPilot    5: 256 op, 25300.00 ns, 98.8281 ns/op
WorkloadPilot    6: 512 op, 46100.00 ns, 90.0391 ns/op
WorkloadPilot    7: 1024 op, 89000.00 ns, 86.9141 ns/op
WorkloadPilot    8: 2048 op, 173500.00 ns, 84.7168 ns/op
WorkloadPilot    9: 4096 op, 347900.00 ns, 84.9365 ns/op
WorkloadPilot   10: 8192 op, 952000.00 ns, 116.2109 ns/op
WorkloadPilot   11: 16384 op, 2235600.00 ns, 136.4502 ns/op
WorkloadPilot   12: 32768 op, 5545000.00 ns, 169.2200 ns/op
WorkloadPilot   13: 65536 op, 8540400.00 ns, 130.3162 ns/op
WorkloadPilot   14: 131072 op, 13929600.00 ns, 106.2744 ns/op
WorkloadPilot   15: 262144 op, 23360900.00 ns, 89.1148 ns/op
WorkloadPilot   16: 524288 op, 46351700.00 ns, 88.4089 ns/op
WorkloadPilot   17: 1048576 op, 59274500.00 ns, 56.5286 ns/op
WorkloadPilot   18: 2097152 op, 106267700.00 ns, 50.6724 ns/op
WorkloadPilot   19: 4194304 op, 207967500.00 ns, 49.5833 ns/op
WorkloadPilot   20: 8388608 op, 406507700.00 ns, 48.4595 ns/op
WorkloadPilot   21: 16777216 op, 818939400.00 ns, 48.8126 ns/op

OverheadWarmup   1: 16777216 op, 47508900.00 ns, 2.8318 ns/op
OverheadWarmup   2: 16777216 op, 50220700.00 ns, 2.9934 ns/op
OverheadWarmup   3: 16777216 op, 47155400.00 ns, 2.8107 ns/op
OverheadWarmup   4: 16777216 op, 49505500.00 ns, 2.9508 ns/op
OverheadWarmup   5: 16777216 op, 48335600.00 ns, 2.8810 ns/op

OverheadActual   1: 16777216 op, 48372800.00 ns, 2.8832 ns/op
OverheadActual   2: 16777216 op, 50031300.00 ns, 2.9821 ns/op
OverheadActual   3: 16777216 op, 50784800.00 ns, 3.0270 ns/op
OverheadActual   4: 16777216 op, 51197800.00 ns, 3.0516 ns/op
OverheadActual   5: 16777216 op, 47815500.00 ns, 2.8500 ns/op
OverheadActual   6: 16777216 op, 45281100.00 ns, 2.6990 ns/op
OverheadActual   7: 16777216 op, 40495500.00 ns, 2.4137 ns/op
OverheadActual   8: 16777216 op, 46286600.00 ns, 2.7589 ns/op
OverheadActual   9: 16777216 op, 41326500.00 ns, 2.4633 ns/op
OverheadActual  10: 16777216 op, 39810800.00 ns, 2.3729 ns/op
OverheadActual  11: 16777216 op, 46029600.00 ns, 2.7436 ns/op
OverheadActual  12: 16777216 op, 47973600.00 ns, 2.8594 ns/op
OverheadActual  13: 16777216 op, 47692100.00 ns, 2.8427 ns/op
OverheadActual  14: 16777216 op, 47570400.00 ns, 2.8354 ns/op
OverheadActual  15: 16777216 op, 41303600.00 ns, 2.4619 ns/op
OverheadActual  16: 16777216 op, 41421900.00 ns, 2.4689 ns/op
OverheadActual  17: 16777216 op, 43252800.00 ns, 2.5781 ns/op
OverheadActual  18: 16777216 op, 39389900.00 ns, 2.3478 ns/op
OverheadActual  19: 16777216 op, 45822200.00 ns, 2.7312 ns/op
OverheadActual  20: 16777216 op, 48645000.00 ns, 2.8995 ns/op

WorkloadWarmup   1: 16777216 op, 938346800.00 ns, 55.9298 ns/op
WorkloadWarmup   2: 16777216 op, 907115800.00 ns, 54.0683 ns/op
WorkloadWarmup   3: 16777216 op, 872943300.00 ns, 52.0315 ns/op
WorkloadWarmup   4: 16777216 op, 904011900.00 ns, 53.8833 ns/op
WorkloadWarmup   5: 16777216 op, 909644600.00 ns, 54.2190 ns/op
WorkloadWarmup   6: 16777216 op, 937829600.00 ns, 55.8990 ns/op
